# ANNOTATION_RELATION rows for the VALIDATED INHERITED cell type -> structure claims.
# NOT asserted by CL on the class: entailed from an is_a ancestor (VIA), then confirmed
# accurate AND restricted by claude-sonnet-5. A WEAKER claim than the asserted rows on
# prod -- give it its own SOURCE, do not merge it into 'CL'.
# Rows whose target is a whole-body anatomical system are excluded as tautologies.
# PREDICATE is the one the ANCESTOR actually asserts, looked up per row; NOT always 'part of'.
# script: scripts/validate_celltype_tissue_map.py  model: claude-sonnet-5
SUBJECT_VALUE	SUBJECT_VALUE_URI	PREDICATE	PREDICATE_URI	OBJECT_VALUE	OBJECT_VALUE_URI	VIA	N_DATASETS
GPi Core internal globus pallidus core projecting neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310095	has soma location	http://purl.obolibrary.org/obo/RO_0002100	medial globus pallidus	http://purl.obolibrary.org/obo/UBERON_0002477	internal globus pallidus core projecting neuron	0
GPi Shell internal globus pallidus shell projection neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310096	has soma location	http://purl.obolibrary.org/obo/RO_0002100	medial globus pallidus	http://purl.obolibrary.org/obo/UBERON_0002477	internal globus pallidus shell projection neuron	0
Islands of Calleja granule cell	http://purl.obolibrary.org/obo/CL_4030053	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
KNDy neuron	http://purl.obolibrary.org/obo/CL_4023125	has soma location	http://purl.obolibrary.org/obo/RO_0002100	hypothalamus	http://purl.obolibrary.org/obo/UBERON_0001898	hypothalamus kisspeptin neuron	0
Kolmer-Agduhr neuron	http://purl.obolibrary.org/obo/CL_0005007	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord interneuron	0
L2 marginal neuron	http://purl.obolibrary.org/obo/CL_4042012	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer II	http://purl.obolibrary.org/obo/UBERON_0005391	L2 intratelencephalic projecting glutamatergic neuron	0
L2/3 intratelencephalic projecting glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072037	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer II/III	http://purl.obolibrary.org/obo/UBERON_8440000	L2/3 intratelencephalic projecting glutamatergic neuron	0
L2/3/5 fan Martinotti sst GABAergic interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023030	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
L4 intratelencephalic projecting glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072039	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer IV	http://purl.obolibrary.org/obo/UBERON_0005393	L4 intratelencephalic projecting glutamatergic neuron	0
L5 extratelencephalic projecting glutamatergic cortical neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072043	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer V	http://purl.obolibrary.org/obo/UBERON_0005394	L5 extratelencephalic projecting glutamatergic cortical neuron	0
L5 intratelencephalic projecting glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072038	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer V	http://purl.obolibrary.org/obo/UBERON_0005394	L5 intratelencephalic projecting glutamatergic neuron	0
L5/6 cck, VIP GABAergic interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023019	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer V/VI	http://purl.obolibrary.org/obo/UBERON_8440002	L5/6 cck GABAergic interneuron (Mmus)	0
L5/6 near-projecting glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072042	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer V/VI	http://purl.obolibrary.org/obo/UBERON_8440002	L5/6 near-projecting glutamatergic neuron	0
L6 corticothalamic-projecting glutamatergic cortical neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072044	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer VI	http://purl.obolibrary.org/obo/UBERON_0005395	L6 corticothalamic-projecting glutamatergic cortical neuron	0
L6 intratelencephalic projecting Car3 glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072040	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer VI	http://purl.obolibrary.org/obo/UBERON_0005395	L6 intratelencephalic projecting glutamatergic neuron	0
L6 intratelencephalic projecting glutamatergic neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072041	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer VI	http://purl.obolibrary.org/obo/UBERON_0005395	L6 intratelencephalic projecting glutamatergic neuron	0
L6b glutamatergic cortical neuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072045	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cortical layer VIb	http://purl.obolibrary.org/obo/UBERON_8440003	L6b glutamatergic cortical neuron	0
Lugaro cell	http://purl.obolibrary.org/obo/CL_0011006	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
Lugaro cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301575	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
M cone cell	http://purl.obolibrary.org/obo/CL_0003049	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	0
M1 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003028	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M10 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003043	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M2 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003029	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M3 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003030	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M3-OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M3-ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003031	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M4 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003033	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M5 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003034	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M6 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003035	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M7 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003036	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M7-OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003038	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M7-ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003037	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M8 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003039	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M9 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003040	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M9-OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003042	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
M9-ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003041	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
OFF midget ganglion cell	http://purl.obolibrary.org/obo/CL_4033047	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
OFF parasol ganglion cell	http://purl.obolibrary.org/obo/CL_4033051	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_4023033	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
OFF-bipolar cell	http://purl.obolibrary.org/obo/CL_0000750	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
ON midget ganglion cell	http://purl.obolibrary.org/obo/CL_4033046	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
ON parasol ganglion cell	http://purl.obolibrary.org/obo/CL_4033052	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_4023032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
ON-bipolar cell	http://purl.obolibrary.org/obo/CL_0000749	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
OT D1 ICj Islands of Calleja granule cell (Primate)	http://purl.obolibrary.org/obo/CL_4310104	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
PAX6 GABAergic interneuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072036	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
Peyer's patch B cell	http://purl.obolibrary.org/obo/CL_0002402	part of	http://purl.obolibrary.org/obo/BFO_0000050	Peyer's patch	http://purl.obolibrary.org/obo/UBERON_0001211	Peyer's patch lymphocyte	0
Purkinje cell (Mmus)	http://purl.obolibrary.org/obo/CL_4300353	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje cell	0
Purkinje layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300349	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
Purkinje myocyte	http://purl.obolibrary.org/obo/CL_0002068	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	0
Purkinje myocyte of atrioventricular bundle	http://purl.obolibrary.org/obo/CL_1000484	part of	http://purl.obolibrary.org/obo/BFO_0000050	bundle of His	http://purl.obolibrary.org/obo/UBERON_0002353	atrioventricular bundle cell	0
Purkinje myocyte of atrioventricular node	http://purl.obolibrary.org/obo/CL_1000479	part of	http://purl.obolibrary.org/obo/BFO_0000050	atrioventricular node	http://purl.obolibrary.org/obo/UBERON_0002352	myocyte of atrioventricular node	0
Purkinje myocyte of internodal tract	http://purl.obolibrary.org/obo/CL_1000483	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
Rohon-Beard neuron	http://purl.obolibrary.org/obo/CL_0000247	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	primary neuron (sensu Teleostei)	0
S cone cell	http://purl.obolibrary.org/obo/CL_0003050	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	0
SN SOX6 Dopa substantia nigra dopaminergic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310115	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
SN-VTR CALB1 Dopa substantia nigra dopaminergic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310109	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
SN-VTR GAD2 Dopa dopaminergic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310111	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
STH PVALB-PITX2 Glut glutamatergic neuron of the basal ganglia (Primate)	http://purl.obolibrary.org/obo/CL_4310118	has soma location	http://purl.obolibrary.org/obo/RO_0002100	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	glutamatergic neuron of the basal ganglia	0
STR Cholinergic GABA striatal cholinergic-GABAergic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310135	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STR D1 MSN direct pathway medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310058	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	0
STR D2 MSN indirect pathway medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310059	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	0
STR FS PTHLH-PVALB GABA striatal pthlh-expressing interneuron (Primate)	http://purl.obolibrary.org/obo/CL_4310120	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STR TAC3-PLPP4 GABA TAC3-positive striatal interneuron (Primate)	http://purl.obolibrary.org/obo/CL_4310125	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STR-BF TAC3-PLPP4-LHX8 GABA TAC3-positive striatal interneuron (Primate)	http://purl.obolibrary.org/obo/CL_4310126	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRd Cholinergic GABA dorso-striatal cholinergic-GABAergic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310128	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRd D1 Matrix MSN matrix D1 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310129	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRd D1 Striosome MSN striosomal D1 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310130	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRd D2 Matrix MSN matrix D2 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310132	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRd D2 StrioMat Hybrid MSN indirect pathway medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310133	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	0
STRd D2 Striosome MSN striosomal D2 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310134	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
STRv D1 MSN nucleus accumbens shell and olfactory tubercle D1 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310136	has soma location	http://purl.obolibrary.org/obo/RO_0002100	ventral striatum	http://purl.obolibrary.org/obo/UBERON_0005403	nucleus accumbens shell and olfactory tubercle D1 medium spiny neuron	0
STRv D2 MSN nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310138	has soma location	http://purl.obolibrary.org/obo/RO_0002100	ventral striatum	http://purl.obolibrary.org/obo/UBERON_0005403	nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron	0
TAC3-positive medium spiny neuron	http://purl.obolibrary.org/obo/CL_4042002	has soma location	http://purl.obolibrary.org/obo/RO_0002100	ventral striatum	http://purl.obolibrary.org/obo/UBERON_0005403	nucleus accumbens shell and olfactory tubercle D1 medium spiny neuron	0
TAC3-positive striatal interneuron	http://purl.obolibrary.org/obo/CL_4042001	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
Tanycyte NN_2 Mroh5 alpha1-tanycyte (Mmus)	http://purl.obolibrary.org/obo/CL_4307066	part of	http://purl.obolibrary.org/obo/BFO_0000050	third ventricle ependyma	http://purl.obolibrary.org/obo/UBERON_0004642	alpha1-tanycyte	0
Tanycyte NN_2 Mylk3 alpha1-tanycyte (Mmus)	http://purl.obolibrary.org/obo/CL_4307065	part of	http://purl.obolibrary.org/obo/BFO_0000050	third ventricle ependyma	http://purl.obolibrary.org/obo/UBERON_0004642	alpha1-tanycyte	0
UV cone cell	http://purl.obolibrary.org/obo/CL_0003051	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	0
VIP-ChAT interneuron	http://purl.obolibrary.org/obo/CL_4042015	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
Vgamma1.1-positive, Vdelta6.3-negative thymocyte	http://purl.obolibrary.org/obo/CL_0002411	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
Vgamma1.1-positive, Vdelta6.3-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002412	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
active chief cell of parathyroid gland	http://purl.obolibrary.org/obo/CL_0002141	part of	http://purl.obolibrary.org/obo/BFO_0000050	parathyroid epithelium	http://purl.obolibrary.org/obo/UBERON_0011197	chief cell of parathyroid gland	0
alpha retinal ganglion cell (Mmus)	http://purl.obolibrary.org/obo/CL_0004117	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
alpha retinal ganglion cell OFF-sustained (Mmus)	http://purl.obolibrary.org/obo/CL_0020024	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
alpha retinal ganglion cell OFF-transient (Mmus)	http://purl.obolibrary.org/obo/CL_0020026	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
alpha retinal ganglion cell ON-sustained (Mmus)	http://purl.obolibrary.org/obo/CL_0020025	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
alpha retinal ganglion cell ON-transient (Mmus)	http://purl.obolibrary.org/obo/CL_0020027	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
alpha7 GABAergic cortical interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023010	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
anterior cone cell (sensu Endopterygota)	http://purl.obolibrary.org/obo/CL_0000720	part of	http://purl.obolibrary.org/obo/BFO_0000050	ommatidium	http://purl.obolibrary.org/obo/UBERON_0000971	compound eye cone cell	0
anterior lens cell	http://purl.obolibrary.org/obo/CL_0002223	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of lens	http://purl.obolibrary.org/obo/UBERON_0001803	lens epithelial cell	0
appendix goblet cell	http://purl.obolibrary.org/obo/CL_1000327	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of appendix	http://purl.obolibrary.org/obo/UBERON_0009697	epithelial cell of appendix	0
ascending interneuron of myenteric plexus	http://purl.obolibrary.org/obo/CL_0020050	has soma location	http://purl.obolibrary.org/obo/RO_0002100	myenteric nerve plexus	http://purl.obolibrary.org/obo/UBERON_0002439	interneuron of myenteric plexus	0
basal cell of epithelium of bronchus	http://purl.obolibrary.org/obo/CL_1000349	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	bronchial epithelial cell	0
basal cell of prostatic acinus	http://purl.obolibrary.org/obo/CL_0002234	part of	http://purl.obolibrary.org/obo/BFO_0000050	prostate glandular acinus	http://purl.obolibrary.org/obo/UBERON_0004179	epithelial cell of prostatic acinus	0
basal cell of urothelium	http://purl.obolibrary.org/obo/CL_1000486	part of	http://purl.obolibrary.org/obo/BFO_0000050	urothelium	http://purl.obolibrary.org/obo/UBERON_0000365	urothelial cell	0
bronchial goblet cell	http://purl.obolibrary.org/obo/CL_1000312	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	bronchial epithelial cell	0
brush cell of bronchus	http://purl.obolibrary.org/obo/CL_0002208	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	bronchial epithelial cell	0
brush cell of tracheobronchial tree	http://purl.obolibrary.org/obo/CL_0002075	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	0
calcified zone articular chondrocyte	http://purl.obolibrary.org/obo/CL_0020040	part of	http://purl.obolibrary.org/obo/BFO_0000050	articular cartilage of joint	http://purl.obolibrary.org/obo/UBERON_0010996	articular chondrocyte	0
calretinin-negative intrinsic primary afferent neuron of myenteric plexus	http://purl.obolibrary.org/obo/CL_0020056	has soma location	http://purl.obolibrary.org/obo/RO_0002100	myenteric nerve plexus	http://purl.obolibrary.org/obo/UBERON_0002439	intrinsic primary afferent neuron of myenteric plexus	0
calretinin-positive intrinsic primary afferent neuron of myenteric plexus	http://purl.obolibrary.org/obo/CL_0020055	has soma location	http://purl.obolibrary.org/obo/RO_0002100	myenteric nerve plexus	http://purl.obolibrary.org/obo/UBERON_0002439	intrinsic primary afferent neuron of myenteric plexus	0
candelabrum cell	http://purl.obolibrary.org/obo/CL_4042030	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
canopy lamp5 GABAergic cortical interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023022	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
cardiac muscle cell (sensu Arthopoda)	http://purl.obolibrary.org/obo/CL_0000193	part of	http://purl.obolibrary.org/obo/BFO_0000050	primary circulatory organ	http://purl.obolibrary.org/obo/UBERON_0007100	cardiocyte	0
cardiac pacemaker cell of sinoatrial node	http://purl.obolibrary.org/obo/CL_1000477	part of	http://purl.obolibrary.org/obo/BFO_0000050	sinoatrial node	http://purl.obolibrary.org/obo/UBERON_0002351	myocyte of sinoatrial node	0
cerebellar GABAergic neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300028	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
cerebellar Golgi cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301578	has soma location	http://purl.obolibrary.org/obo/RO_0002100	granular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002956	cerebellar Golgi cell	0
cerebellar astrocyte (Mmus)	http://purl.obolibrary.org/obo/CL_4307027	part of	http://purl.obolibrary.org/obo/BFO_0000050	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	astrocyte of the cerebellum	0
cerebellar glutamatergic neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300029	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
cerebellar granule cell (Mmus)	http://purl.obolibrary.org/obo/CL_4300354	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
cerebellum glutamatergic neuron	http://purl.obolibrary.org/obo/CL_2000028	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
ciliated epithelial cell of esophagus	http://purl.obolibrary.org/obo/CL_3000000	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of esophagus	http://purl.obolibrary.org/obo/UBERON_0001976	epithelial cell of esophagus	0
clear chief cell of parathyroid gland	http://purl.obolibrary.org/obo/CL_0002147	part of	http://purl.obolibrary.org/obo/BFO_0000050	parathyroid epithelium	http://purl.obolibrary.org/obo/UBERON_0011197	chief cell of parathyroid gland	0
commissural neuron	http://purl.obolibrary.org/obo/CL_0000678	has soma location	http://purl.obolibrary.org/obo/RO_0002100	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system neuron	0
committed double negative thymocyte (Homo sapiens)	http://purl.obolibrary.org/obo/CL_0009082	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
cortical granule cell	http://purl.obolibrary.org/obo/CL_0001032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
